publication_number,title
US-4972070-A,Sensor operated water flow control with separate filters and filter retainers
US-4196081-A,Apparatus for emergency water purification
US-6524447-B1,Apparatus and method for photocatalytic purification and disinfection of water and ultrapure water
US-4235892-A,"1-Aryl-2-acylamido-3-fluoro-1-propanols, methods for their use as antibacterial agents and compositions useful therefor"
US-2010224555-A1,Nanocomposite membranes and methods of making and using same
US-7153432-B2,Method of purifying Fischer-Tropsch derived water
US-5762782-A,Water treatment for dialysate preparation
US-3607737-A,Method and apparatus for the aerobic purification of sewage water at a temperature higher than the ambient temperature
US-3935106-A,Water filter assembly
US-5632889-A,Filter cartridge for separating liquid hydrocarbons from water
US-4192742-A,Process and apparatus for the biological treatment of waste water
US-5965163-A,Substained release compositions and a method of preparing pharmaceutical compositions
US-5064097-A,Compact water purification and beverage dispensing apparatus
US-5205932-A,Point-of-use water purification appliance
US-7160454-B2,Membrane filter for water treatment
US-2017049724-A1,Extended-release dosage form
US-3635226-A,Tobacco-smoke filters
US-5017286-A,Faucet-mounted water filter with wall inlet and annular chamber
US-6221507-B1,High temperature laminated structural panels and method of producing the same
US-5858202-A,Method for producing electrolytic water and apparatus for producing the same
US-5873995-A,End-of-life indicator for water treatment device
US-4349434-A,"Filtration system for spas, hot tubs, swimming pools and the like"
US-4935116-A,Water purification device
US-5972216-A,Portable multi-functional modular water filtration unit
US-6169045-B1,Nonwoven filter media
US-7001519-B2,Integrated closed loop system for industrial water purification
US-5578213-A,Fluid treatment process
US-5547590-A,UV-based water decontamination system with dimmer-control
US-5225014-A,Process for producing precision cartridge filter
US-7537030-B2,Patient point-of-care water sterilizer
US-9145318-B2,Systems and methods for removing hydrogen peroxide from water purification systems
US-4419232-A,Filtering and collecting device for water drains
US-5178758-A,Biochemical water filter
US-7329358-B2,Water treatment process
US-3746171-A,Filter assembly
US-6178290-B1,Water filter device having a collecting pot and a heating element
US-5397462-A,Filter with laterally removable element and valve means
US-4092245-A,Liquid purification method
US-5588969-A,Method for supplying phosphorous vapor
US-5059317-A,Transportable apparatus for producing drinking water
US-8580218-B2,Method of purifying silicon utilizing cascading process
US-7238278-B2,Apparatus for purifying water
US-8978899-B2,Fluoropolymer fine fiber
US-4039447-A,Waste water treatment method and apparatus
US-3865728-A,Algicidal surface
US-6939398-B2,Drum scrubber
US-6802981-B2,Method for purification and disinfection of water
US-5766474-A,Biomass impoundment management system for purifying water
US-6080313-A,Point-of-use water purification system with a cascade ion exchange option
US-4169789-A,Process and apparatus for purifying sea water by reverse osmosis
US-6463956-B2,Method of water distribution and apparatus therefor
US-6323326-B1,"Method of solubilizing, purifying, and refolding protein"
US-5366642-A,Compact water filtration and purification pump
US-7396461-B2,Filter cartridge for gravity-fed water treatment device
US-8057669-B2,Filter element and filter assembly including locking mechanism
US-6344146-B1,Portable water purification device
US-4767528-A,Drinking water purifying apparatus
US-6720557-B2,Particle beam apparatus
US-6796436-B2,Method and apparatus for preparing pure water
US-6355177-B2,Water filter cartridge replacement system for a refrigerator
US-4156645-A,Conversion of sea water by reverse osmosis
US-5961732-A,Treating substrates by producing and controlling a cryogenic aerosol
US-5855777-A,Multi-chamber water purification device and method of using the same
US-7585409-B2,Multi-stage water purification device
US-6508078-B2,Separation of purified water and nutrients from agricultural and farm wastes
US-4770768-A,Water filter apparatus and aerator assembly
US-6767456-B2,Reusable storm water sampler and pollutant filter insert
US-10105201-B2,Interdental cleaner using water supply
US-4133759-A,Liquid purification apparatus
US-7955476-B2,Multiple application purification and recycling device
US-6464884-B1,Portable water treatment unit
US-6149788-A,Method and apparatus for preventing scaling in electrodeionization units
US-5480254-A,Storm drain box filter and method of use
US-8209905-B2,Greening system
US-5779911-A,Aqueous fluid purification monitoring and control system and process
US-5858215-A,Water filter containing faucet and display therefor
US-5593563-A,Electrodeionization process for purifying a liquid
US-4273660-A,Purification of water through the use of ozone and ultraviolet light
US-7632406-B2,"Smart membranes for nitrate removal, water purification, and selective ion transportation"
US-6533941-B2,Flow through drain filter for a stormwater or wastewater catch basin
US-8926840-B2,Drinking container and filter assembly
US-5234824-A,Rapid purification of DNA
US-4308142-A,"Back-flush filtering apparatus, particularly for a house water supply system"
US-5227027-A,High efficiency water distillation apparatus using a heat pump system and process for use thereof
US-6388381-B2,Constricted glow discharge plasma source
US-7569148-B2,Continuous membrane filtration and solids reduction
US-5560393-A,"Self-contained, purified drinking water refrigerator storage apparatus"
US-6913742-B2,Process for the purification of inorganic salt containing organic material and purified salt for electrolysis of sodium chloride
US-4165952-A,Heat energized vapor adsorbent pump
US-5310486-A,Multi-stage water treatment system and method for operating the same
US-7815804-B2,Method for treating wastewater or produced water
US-3692180-A,Countertop water purifier
US-5095146-A,Water addition to crystallization train to purify terephthalic acid product
US-5320752-A,Water purification system employing modular flat filter assembly
US-5961831-A,Automated closed recirculating aquaculture filtration system and method
US-6280634-B1,Method of determining system volume of a dialysis machine
US-5556279-A,Water purification system for dental instrument
US-5273649-A,Personal water purification systems
US-2002083842-A1,Automatic vending machine with functional water generator
US-6824695-B2,System and method for water purification
US-5786528-A,Water intrusion test for filters
US-2008190374-A1,Water dispenser for pets
US-2005269254-A1,[Air and Water Purifying System And Filter Media]
US-RE45080-E,Hot disconnect replaceable water filter assembly
US-2008254131-A1,Controlled-release galantamine formulations
US-6277288-B1,Combined ozonation and electrolytic chlorination water purification method
US-5411665-A,Methods for reducing and separating emulsions and homogeneous components from contaminated water
US-6537455-B2,Elongated hand-held shower head and filter
US-4683054-A,Appliance for purifying water
US-2002114834-A1,Method of dispensing a formula with medical or nutritional preparations in the form of initially-reduced-release particles (IRRP)
US-7112272-B2,Liquid and gas porous plastic filter and methods of use
US-5122265-A,Compact reverse osmosis system with cold water flush
US-4585554-A,Combined purified water dispensing device and reject water control device
US-4639315-A,Apparatus for mechanical purification of waste water
US-4610790-A,Process and system for producing sterile water and sterile aqueous solutions
US-7625548-B2,Methods and apparatus for producing nanoscale particles
US-5171429-A,Apparatus for discharging water with passage selection sensor
US-4986905-A,Distribution control system for recycling treated sewage water for irrigation
US-2010116647-A1,"Ballast water treatment plant having filter, disinfection, instrumentation and control unit"
US-2001019725-A1,Sustained release compositions and a method of preparing pharmaceutical compositions
US-4869067-A,Method of generating power
US-5358635-A,Integrated reverse osmosis water treatment and storage system
US-6272770-B1,Washer/dryer combination with cold water and vacuum
US-6241893-B1,"Water filtration media, apparatus and processes"
US-5419838-A,Groundwater storage and distribution system having a gallery with a filtering means
US-6217757-B1,Storm drain filter with vertical screens
US-4746435-A,Biochemical process for purifying contaminated water
US-4761395-A,"Process and composition for purifying arsine, phosphine, ammonia, and inert gases to remove Lewis acid and oxidant impurities therefrom"
US-6395170-B1,Universal filter for soda pop and bottled water bottles
US-5106495-A,Portable water purification device
US-5635063-A,Water treatment apparatus
US-6893568-B1,Immersed membrane filtration system and overflow process
US-6558537-B1,Portable hydration system
US-4877521-A,Quick-change filter cartridge and head therefor
US-5433849-A,Double drum waste water screen
US-6379560-B1,Water purifying apparatus and method for purifying water
US-4293400-A,Electrolytic treatment of water
US-3649533-A,Method and arrangement for purifying water drawn from a ground-water well
US-5517829-A,Apparatus for producing filtered drinking water
US-5888403-A,Water treatment process and system
US-5443719-A,"System and reactor for mixing coagulating agents into a contaminated water flow, and for removing contaminants therefrom"
US-5799440-A,"Floating island with water-purifying effect, plant-cultivation bag and method for purifying water"
US-2012172334-A1,Controlled release particles and method for producing the same
US-4755304-A,Method of purifying ground water
US-3649493-A,Process of purifying water with active halogen compound and actini radiations
US-6416668-B1,Water treatment process for membranes
US-5078876-A,Apparatus for multistage purification of water
US-7938963-B2,Fuel filter system
US-5708071-A,"Aqueous dispersion of an amphoteric water-soluble polymer, a method of manufacturing the same, and a treating agent comprising the same"
US-6868690-B2,"Production of potable water and freshwater needs for human, animal and plants from hot and humid air"
US-2017281615-A1,"Extended release, abuse deterrent dosage forms"
US-4498982-A,Reverse osmosis water purification system
US-4990260-A,Method and apparatus for removing oxidizable contaminants in water to achieve high purity water for industrial use
US-3971947-A,Ultraviolet water purifier
US-6029461-A,Water collection and dispensing machine
US-7378024-B2,Methods for improving filtration performance of hollow fiber membranes
US-2009192228-A1,Controlled-Release Tolterodine Compositions and Methods
US-4753728-A,Water filter
US-4515692-A,Water filter
US-4605499-A,Water filter
US-7143897-B1,Water filter
US-5505120-A,Water filter
US-4504389-A,Water filter
US-5149437-A,Water filter
US-3561506-A,Water purifier
US-5085753-A,Water purifier
US-4623457-A,Water purifier
US-6800199-B1,Water purifier
US-3616919-A,Water purifier
US-5071551-A,Water purifier
US-6607668-B2,Water purifier
US-4198294-A,Water purification system
US-5401399-A,Water purification system
US-4711723-A,Water purification system
US-6120691-A,Water purification system
US-4204956-A,Water purification system
US-5007994-A,Water purification system
US-5843309-A,Water purification system
US-5227053-A,Water purification system
US-4412924-A,Water purification system
US-5711887-A,Water purification system
US-3786924-A,Water purification system
US-3774763-A,Water purification system
US-4172767-A,Water purification system
US-5004535-A,Water purification system
US-4298475-A,Water purification system
US-6251264-B1,Water purification apparatus
US-4680114-A,Water purification apparatus
US-5597482-A,Water purification apparatus
US-4696739-A,Water purification apparatus
US-4842724-A,Water purification apparatus
US-7166224-B2,Water purification apparatus
US-4759844-A,Portable water purification system
US-4800018-A,Portable water purification system
US-5281309-A,Portable water purification system
US-4609466-A,Portable water purification system
US-5268093-A,Portable water purification system
US-2007199875-A1,Portable water purification system
