publication_number,title
US-2008313403-A1,"Apparatus, system, and method for selecting an input/output tape volume cache"
US-7982670-B2,Method and system for estimating directions-of-arrival in low power or low sample size scenarios
US-6246931-B1,Method of and apparatus for determining optimum delivery route for articles
US-2016034617-A1,Prototyping an Image Processing Algorithm and Emulating or Simulating Execution on a Hardware Accelerator to Estimate Resource Usage or Performance
US-4888742-A,Method of migrating seismic data
US-4975975-A,Hierarchical parametric apparatus and method for recognizing drawn characters
US-7606630-B2,Method for electronically operating two machine tools
US-8348934-B2,Electrosurgical power control
US-2015254232-A1,Natural language processing with dynamic pipelines
US-2018189615-A1,Electronic apparatus and method of operating the same
US-8776191-B2,Techniques for reducing storage space and detecting corruption in hash-based application
US-2014169791-A1,In-skin wavelength division multiplex (wdm) path computation
US-2004073537-A1,Staged mixture modeling
US-9571656-B2,Method of distributed aggregation in a call center
US-8334797-B1,Wideband high resolution time-stretched photonic analog-to-digital converter
US-2005034097-A1,Encapsulating and executing computer algorithms
US-2002083379-A1,On-line reconstruction processing method and on-line reconstruction processing apparatus
US-2008281437-A1,Initializing an estimation of dynamic model parameters
US-9984685-B2,Concatenated expected responses for speech recognition using expected response boundaries to determine corresponding hypothesis boundaries
US-9434409-B2,Tire lateral force model with temperature adaptation and method
US-2018353083-A1,Non-invasive cardiac output determination
US-6301482-B1,DMA cellular radio system with a channel quality criterion
US-2012277988-A1,Object Detection and Position Determination by Reflected Global Navigation Satellite System Signals
US-2013214783-A1,Imaging method and device for water/fat separation in magnetic resonance imaging
US-2008275895-A1,"Method, system, and program product for aligning models"
US-7436884-B2,Method and system for wavelet packet transmission using a best base algorithm
US-2012319879-A1,Method for modifying the lms algorithm to reduce the effect of correlated perturbations
US-2005192792-A1,System and method for normalization of a string of words
US-8275120-B2,Adaptive acoustic echo cancellation
US-2007139667-A1,Digitally mapped formulaic color space and method of making and using same
US-2003233306-A1,System and method for estimating and optimizing transaction costs
US-2012041798-A1,Rough Planning System for Factories
US-2003154360-A1,Methods of performing DSP operations using flexible data type operands
US-2002159622-A1,Method and system for fast detection of lines in medical images
US-5600646-A,Video teleconferencing system with digital transcoding
US-2010305931-A1,Wireless network design simulation package
US-2019052788-A1,Varying exposure time of pixels in photo sensor using motion prediction
US-2010106888-A1,Method and System For Device Independence In Storage Device Wear Algorithms
US-2008021523-A1,Method and apparatus for indication-based programming of cardiac rhythm management devices
US-8112369-B2,Methods and systems of adaptive coalition of cognitive agents
US-8412640-B2,Signature based negative list for off line payment device validation
US-10097524-B2,"Network configuration method, and related apparatus and system"
US-2006036338-A1,Directionless rotary encoder control system for a household appliance
US-9235878-B1,Method for retaining edges in an enlarged digital image
US-2009097537-A1,Simplified algorithm for abnormal situation prevention in load following applications including plugged line diagnostics in a dynamic process
US-2007161875-A1,"Head-stabilized medical apparatus, system and methodology"
US-9761054-B2,Augmented reality computing with inertial sensors
US-2011301922-A1,Equivalent circuit simulation system and method
US-9941970-B2,Adaptive mach zehnder modulator linearization
US-7406181-B2,Occupant detection system
US-8552286-B2,Method of adaptive solar tracking using variable step size
US-2013212354-A1,Method for efficient data array sorting in a programmable processor
US-2017153941-A1,Storing data copies in a dispersed storage network
US-8876157-B2,System for protection of a vulnerable road user and method for operating the system
US-8858454-B2,Motion cancellation of optical input signals for physiological pulse measurement
US-2009180675-A1,System and method for image based multiple-modality cardiac image alignment
US-2011243321-A1,Scrambling of a calculation performed according to an rsa-crt algorithm
US-10133983-B1,Method and apparatus for modeling probability matching and loss sensitivity among human subjects in a resource allocation task
US-2008313267-A1,Optimize web service interactions via a downloadable custom parser
US-8731743-B2,Self tuning vibration isolation system
US-2010014709-A1,Super-resolving moving vehicles in an unregistered set of video frames
US-2017245073-A1,Temperature compensation for load identification
US-9466115-B2,Stencil then cover path rendering with shared edges
US-9226267-B2,Method for modifying functions in a wireless communication device
US-2009247083-A1,Wavelength Selection And Outlier Detection In Reduced Rank Linear Models
US-2004217956-A1,"Method and system for processing, compressing, streaming, and interactive rendering of 3D color image data"
US-2015156209-A1,Process Using Universal Sanitization to Prevent Injection Attacks
US-7788166-B2,Implied index correlation and dispersion
US-7209707-B2,"Radio receiving device, array parameter optimal value estimation method, and array parameter optimal value estimation program"
US-8280061-B2,Methods and systems for storing and retrieving encrypted data
US-8805945-B2,Method and system for message pacing
US-6118898-A,Methods and apparatus for compressing and decompressing multiple data sets and for managing memory storage of compressed data sets
US-4070762-A,Measuring apparatus
US-5260896-A,Adaptive filter and a method of preventing divergent behavior of the adaptive filter
US-2004228485-A1,Method and apparatus for the generation of public key based on a user-defined ID in a cryptosystem
US-5017910-A,Intermittent fault detection system
US-2004083380-A1,Security module with volatile memory for storing an algorithm code
US-7041998-B2,Method and apparatus for high-throughput inspection of large flat patterned media using dynamically programmable optical spatial filtering
US-2014342363-A1,Sample Preparation
US-8156392-B2,"Apparatus, system, and method for bad block remapping"
US-2016021045-A1,Routing messages based on geolocation information
US-2013054959-A1,Security Control in a Communication System
US-9534822-B2,Staging active cooling start-up
US-7373278-B2,Method of latent fault checking a cooling module
US-2016295305-A1,Building sensing management system and driving method thereof
US-6212424-B1,Apparatus and method for determination of the adequacy of dialysis by non-invasive near-infrared spectroscopy
US-2011255787-A1,Portable electronic device
US-6597645-B2,DVD-audio disk
US-4964113-A,Multi-frame transmission control for token ring networks
US-2016352679-A1,Identifying algorithmically generated domains
US-7788198-B2,Method for detecting anomalies in server behavior using operational performance and failure mode monitoring counters
US-9906166-B2,Method and device for controlling operation of inverter
US-9231858-B1,Completeness detection of monitored globally distributed synchronous and asynchronous transactions
US-2013122920-A1,Resource allocation and scheduling among base stations
US-2009132129-A1,Side Impact Sensor Systems
US-2014351558-A1,Low Power Management of Multiple Sensor Integrated Chip Architecture
US-8045636-B1,Maximum-likelihood frame synchronization algorithms for OFDM systems
US-2013266046-A1,8B/9B Encoding For Reducing Crosstalk on a High Speed Parallel Bus
US-7583668-B1,Security system for network address translation systems
US-7804973-B2,Fitting methodology and hearing prosthesis based on signal-to-noise ratio loss data
US-7297052-B2,Method for operating a grain cleaning system in a combine harvester
US-2004181581-A1,Authentication method for preventing delivery of junk electronic mail
US-9130627-B2,Multi-mode receiver for highly-spectrally-efficient communications
US-7720850-B2,Self-uploaded indexing and data clustering method and apparatus
US-6539534-B1,Apparatus and method for automatically generating circuit designs that meet user output requirements
US-7499181-B2,System for measurement of projected turbulence downwind of an aircraft
US-7603218-B2,Apparatus and method to provide failsafe deceleration for an agricultural windrower
US-2016303370-A1,System and Method For Electrical Stimulation of Anorectal Structures To Treat Urinary Dysfunction
US-2018189981-A1,System and method of encoding and decoding feature maps and weights for a convolutional neural network
US-5138465-A,Method and apparatus for highlighting nested information areas for selective editing
US-2018039857-A1,Extracting image data using three-dimensional models
US-5341322-A,Bit level pipeline divide circuit and method therefor
US-4824250-A,Non-destructive testing by laser scanning
US-2017172427-A1,Neck-worn physiological monitor
US-2007036442-A1,Adaptive subtraction image compression
US-9813005-B2,Stator resistance estimation for electric motors
US-2018062741-A1,Alignment in line-of-sight communication networks
US-2003149842-A1,Method for controling cache system comprising direct-mapped cache and fully-associative buffer
US-2005222975-A1,Integrated full text search system and method
US-4929878-A,Memory mirror control system for vehicles and the like
US-2007022109-A1,Systems and methods for answering user questions
US-6944579-B2,"Signal separation method, signal processing apparatus, image processing apparatus, medical image processing apparatus and storage medium for restoring multidimensional signals from observed data in which multiple signals are mixed"
US-7337334-B2,Network processor power management
US-7175278-B2,Wavefront reconstruction using fourier transformation and direct integration
US-2018227756-A1,"Visible light identity authorization device, visible light identity authorization system having the same and method thereof"
US-7881960-B2,Value analysis and value added concoction of a beverage in a network environment of the beverage
US-9801575-B2,Advanced analyte sensor calibration and error detection
US-2018121197-A1,Simd sign operation
US-2004049120-A1,Methods and apparatus for cardiac R-wave sensing in a subcutaneous ECG waveform
US-7398486-B2,Method and apparatus for performing logical transformations for global routing
US-8800302-B2,Driving an active vibration balancer to minimize vibrations at the fundamental and harmonic frequencies
US-8665544-B2,Systems and methods for servo data detection
US-2011027291-A1,"Methods, systems and products for predicting response of tumor cells to a therapeutic agent and treating a patient according to the predicted response"
US-2004093421-A1,"Method, system and communication node for improving the throughput on WLAN and k-DCF protocol"
US-2003234628-A1,Barrier movement control for mid-travel barrier movement start
US-8249146-B2,Method for selecting content adaptive coding mode
US-2007245211-A1,Method for encoding/decoding concatenated LDGM code
US-2001025340-A1,Security apparatus for data transmission with dynamic random encryption
US-2009292588-A1,Methods and systems for the design of choice experiments and deduction of human decision-making heuristics
US-2016226245-A1,Adaptable recharging and lighting station and methods of using the same
US-2019044707-A1,"Method, apparatus, and system for performing an establishment of a security context between user equipment and an access node by a base station"
US-2013211570-A1,Build up edge monitoring method
US-2006248261-A1,System and method for performing multi-rank command scheduling in DDR SDRAM memory systems
US-2005270905-A1,System and method for identification and quantification of sonar targets in a liquid medium
US-8585637-B2,Method of overnight closed-loop insulin delivery with model predictive control and glucose measurement error model
US-9135738-B2,Efficient elasticity for character skinning
US-2013109978-A1,Non-invasive cardiac output determination
US-2010310115-A1,Image-based techniques for shredded document reconstruction
US-2011234435-A1,System and method for selective wavelength interleaved filtered technique (swift) adc
US-2012179300-A1,"Strategic reduction of power usage in multi-sensing, wirelessly communicating learning thermostat"
US-8266165-B2,Adaptive parameterized search algorithm
US-6427438-B1,Method of evaluating deteriorated state of catalytic converter for purifying exhaust gas
US-8762298-B1,Machine learning based botnet detection using real-time connectivity graph based traffic features
US-2016330281-A1,Systems and methods to improve read/write performance in object storage applications
US-2015070681-A1,"Pattern generating method, pattern forming method, and pattern generating program"
US-8638248-B2,Input-independent self-calibration method and apparatus for successive approximation analog-to-digital converter with charge-redistribution digital to analog converter
US-2016087653-A1,Decoder With Targeted Symbol Flipping Recovery Of Miscorrected Codewords
US-2009049966-A1,Proportional length food slicing system
US-2011161259-A1,System and method for simplification of a matrix based boosting algorithm
US-10164874-B2,"Resilient data communications with physical layer link aggregation, extended failure detection and load balancing"
US-7272624-B2,Fused booth encoder multiplexer
US-6280436-B1,Eye tracking and positioning system for a refractive laser system
US-8285558-B2,Method and system for reduction of quantization-induced block-discontinuities and general purpose audio codec
US-2012144098-A1,Multiple locality-based caching in a data storage system
US-2016098359-A1,System and Method for Secured Host-slave Communication
US-2003185431-A1,Method and system for golden template image extraction
US-2012311418-A1,"Media file format, system, and method"
US-2012195480-A1,"Method, apparatus, and system for retinal image analysis"
US-9679246-B2,Solving vehicle routing problems using evolutionary computing techniques
US-7103476-B2,Methods and systems for routing travel between origin and destination service locations using global satellite positioning
US-5946414-A,Encoding data in color images using patterned color modulated image regions
US-7769167-B2,Weil and Tate pairing techniques using parabolas
US-6331948-B2,"Error correcting circuit for making efficient error correction, and involatile semiconductor memory device incorporating the same error correcting circuit"
US-9672639-B1,Bioluminescence tomography reconstruction based on multitasking bayesian compressed sensing
US-2017306878-A1,Engine with direct injection and port fuel injection adjustment based upon engine oil parameters
US-2010246920-A1,Recursive sparse reconstruction
US-6952365-B2,Reducing the effects of noise in non-volatile memories through multiple reads
US-2006153365-A1,Providing digital signature and public key based on shared knowledge
US-9811449-B2,Test scenario generation support device and test scenario generation support method
US-9603528-B2,Optical speculum
US-2006273946-A1,Technique for low grazing angle 3D SAR target recognition
US-7773803-B2,Effective coding of page boundary for MRC/MECCA segmentation
US-2015272484-A1,Method and apparatus for monitoring deviation of a limb
US-6851057-B1,Data driven detection of viruses
US-10217129-B2,Ad placement
US-7836246-B2,Method and apparatus for overlaying flat and/or tree based data sets onto content addressable memory (CAM) device
US-2017109439-A1,Document classification based on multiple meta-algorithmic patterns
US-2011054391-A1,Analyte sensing and response system
US-6898566-B1,Using signal to noise ratio of a speech signal to adjust thresholds for extracting speech parameters for coding the speech signal
US-6304408-B1,Apparatus and method for a reduced seek-to-track time fuzzy rule controller for a hard disk drive read/write head actuator
US-2003058973-A1,Adaptive pulse frame rate frequency control for digital amplifier systems
US-2007088577-A1,Methods and systems for measuring physician adherence to guidelines
US-2008013927-A1,Supporting user navigation through commercials
US-2010182025-A1,Method and Apparatus for Piezoelectric Sensor Status Assessment
US-2009150111-A1,Method for optimizing calibration maps for an algorithm of estimation of a control quantity of an internal combustion engine
US-6359573-B1,Method and system for embedding electronic watermark information in main information
US-2017024614-A1,System for Automatically Editing Video
US-6748044-B2,Computer assisted analysis of tomographic mammography data
US-8281145-B2,"Doing business without SSN, EIN, and charge card numbers"
US-2017031159-A1,Electronic ophthalmic lens with eye closed sensor with open eye prompt and data logging
US-6054940-A,Keypad scanning security system
US-5365529-A,"Circuitry for detecting and correcting errors in data words occurring in Reed-Solomon coded blocks and determining when errors are uncorrectable by syndrome analysis, Euclid&#39;s algorithm and a Chien search"
US-2011085660-A1,Aes algorithm-based encryption apparatus and method for mobile communication system
US-7940899-B2,"Fraud detection, risk analysis and compliance assessment"
US-10148430-B1,Revocable stream ciphers for upgrading encryption in a shared resource environment
US-8515055-B2,Adaptive filtering with flexible selection of algorithm complexity and performance
US-9413264-B2,Ground power unit for aircraft
US-2004136529-A1,Secure electronic component
US-2005175353-A1,Method and apparatus for two-port allpass compensation of polarization mode dispersion
US-2007208548-A1,Modeling of systems using canonical form functions and symbolic regression
US-7167487-B2,Network with logic channels and transport channels
US-2014222767-A1,Page Substitution Verification Preparation
US-8830235-B1,Non-uniform relaxation procedure for multiresolution mesh processing
US-2004002786-A1,Method of predicting dryer steam pressure in paper machine and apparatus for the method
US-2017091923-A1,Surveying system
US-2003142818-A1,Techniques for efficient security processing
US-7966336-B2,Bounded sub-optimal problem solving
US-2010223941-A1,Air Conditioning System for Low Ambient Cooling
US-6559844-B1,Method and apparatus for generating multiple views using a graphics engine
US-2009009587-A1,Tag-aware multipoint switching for conferencing
US-2004153682-A1,Method and device for preparing a time schedule for transmission of messages to a bus system
US-6766330-B1,Universal output constructor for XML queries universal output constructor for XML queries
US-2012254210-A1,Systems and methods of utf-8 pattern matching
US-2002136106-A1,Digital tracking servo system with multi-track seek with track zero crossing period integrity test
US-2006212259-A1,Method for improved location determination accuracy using filtered and unfiltered ranging signals
US-2009161972-A1,"Image coding/decoding method, image coding apparatus and image decoding apparatus"
US-2013107061-A1,Multi-resolution ip camera
US-8982976-B2,Systems and methods for trellis coded quantization based channel feedback
US-2001030289-A1,"Methods, based on a genetic algorithm, for configuring parameters of an array of multiple components for cooperative operation to achieve a desired performance result"
US-2014313504-A1,"Procedure and device for the measurement of dynamic luminance and retroreflection of road markings and signals and the obtention of the shape, position and dimensions of the same"
US-2017032055-A1,Linear Blend Skinning Weight Optimization Utilizing Skeletal Pose Sampling
US-2007173274-A1,Power control method for a reverse data service
US-2007125165-A1,"Method, system and computer program product for nacelle wind speed correction"
US-2013080744-A1,Abstracting computational instructions to improve performance
US-10049358-B2,Secure passcode entry using mobile device with augmented reality capability
US-8199991-B2,Method to automatically decode microarray images
US-8644500-B2,Apparatus and method for block cipher process for insecure environments
US-2010313190-A1,Determining target types for generic pointers in source code
US-5426720-A,Neurocontrolled adaptive process control system
US-7065046-B2,Scalable weight-based terabit switch scheduling method
US-2010046435-A1,"Routing table generation, data transmission and routing route formation method for multi-hop services in high rate wireless personal networks"
US-2006139922-A1,"Method for controlling lighting parameters, controlling device, lighting system"
US-2007150232-A1,Method Of Generating Sample Data From A Computerized Model Using Acoustic Simulations
US-2006173406-A1,Algorithm sensor augmented bolus estimator for semi-closed loop infusion system
US-2011072115-A1,Block based access to a dispersed data storage network
US-7400934-B2,Methods and apparatus for polishing control
US-2018347763-A1,Machine learning detection of pipeline ruptures
US-2009094059-A1,Genetic Data Analysis and Database Tools
US-2002018533-A1,Apparatus and method for implementing a linearly approximated log map algorithm
US-7035478-B2,System and method for data management in a linear-array-based microscope slide scanner
US-2003215129-A1,Testing liquid crystal microdisplays
US-2017116477-A1,Integration of positional data and overhead images for lane identification
US-8386149-B2,Small engine operation components
US-8025425-B2,Beaconless adaptive optics system
US-2018007114-A9,Server-based browser system
US-2009262976-A1,Position-determining system and method
US-6643570-B2,Aircraft engine reliability business model
US-2007061574-A1,Methods and Systems for Unilateral Authentication of Messages
US-2006277773-A1,Methods for optimally adjusting measurements of garments
US-10159424-B2,Method and apparatus for generating medical image data records
US-2013318611-A1,System and method for detecting network activity of interest
US-2003093267-A1,Presentation-quality buffering process for real-time audio
US-6874150-B2,Method and system for maintaining connections between surfaces and objects in a graphics display system
US-2012143622-A1,Genetic Data Analysis and Database Tools
US-7865332-B2,Scaled exponential smoothing for real time histogram
US-2013242709-A1,Hand-worn device with programmable memory
US-2007276632-A1,System for measuring vital signs using bilateral pulse transit time
US-2007206697-A1,Signal receiving method and signal receiving equipment for multiple input multiple output wireless communication system
US-2011170587-A1,Edge equalizer
US-9063262-B2,Lightguide design techniques
US-10204240-B2,Encrypting portable media system and method of operation thereof
US-2005034055-A1,Method and apparatus for providing calculated and solution-oriented personalized summary-reports to a user through a single user-interface
US-9827994-B2,System and method for writing occupancy grid map of sensor centered coordinate system using laser scanner
US-10153896-B2,Method and device for data encrypting
US-4395768-A,Error correction device for data transfer system
US-2013322318-A1,"Systems, devices, and methods of managing power consumption in wireless sensor networks"
US-2002136107-A1,Digital focus and tracking servo system with one-track jump
US-2006106824-A1,Using a controlled vocabulary library to generate business data component names
US-7681024-B2,Secure booting apparatus and method
US-7062518-B2,Efficiently supporting the existence of long trains in a generation managed by the train algorithm
US-2015332349-A1,System and Method for Controlling Purchasing Pace in a Real-Time Bidding Environment Using Proportional-Integral-Derivative (PID) Control
US-2012323829-A1,Graph-based classification based on file relationships
US-9837065-B2,Variable bandwidth delayless subband algorithm for broadband active noise control system
US-2017162124-A1,Organic light-emitting display panel and method for compensating voltage drop thereof
US-2010138262-A1,Automated Political Risk Management
US-2016078172-A1,Systems and methods for determining the probability of a pregnancy at a selected point in time
US-2002103646-A1,Method and apparatus for performing text-to-speech conversion in a client/server environment
US-2008186961-A1,System and Method for Reevaluating Granted Arbitrated Bids
US-9438159-B2,System and method for detecting and controlling a motor
US-2014036169-A1,"Information input help sheet, information processing system using the information input help sheet, print-associated output system using the information input help sheet, and calibration method"
US-2011022734-A1,Differential time synchronization of intelligent electronic devices
US-8082447-B2,Systems and methods for end-to-end resource reservation authentication
US-2012137197-A1,Architecture and control of reed-solomon error-correction decoding
US-7292267-B2,Dual mode digital imaging and camera system
US-2005063361-A1,Wireless telephone system including voice over IP and POTS
US-2008009976-A1,Methods and systems for manufacturing optimized concrete
US-5386945-A,Method for controlling a roller mill
US-2017097769-A1,Intelligent hybrid drive caching
US-5909390-A,Techniques of programming and erasing an array of multi-state flash EEPROM cells including comparing the states of the cells to desired values
US-9542849-B1,"Risk-based flight path data generating system, device, and method"
US-8156071-B2,Byte-level file differencing and updating algorithms
US-2015058661-A1,Methods for Accessing a Storage Unit of a Flash Memory and Apparatuses using the Same
US-9129218-B1,Intelligent control with hierarchical stacked neural networks
US-2017094738-A1,Controller for a Phase Cut Dimmable LED Driver
US-2004025106-A1,Method of decoding utilizing a recursive table-lookup decoding method
US-2006146964-A1,Apparatus and method for receiving differential space-time block code
US-7680283-B2,Method and system for detecting a predetermined sound event such as the sound of breaking glass
US-2006190378-A1,Process for verifiably communicating risk characteristics of an investment portfolio
US-2017186244-A1,3d object localization with quantization
US-2009204765-A1,Data block frequency map dependent caching
US-6546124-B1,Method and apparatus for performing an adaptive extended dynamic range algorithm
US-8811688-B2,Method and apparatus for fingerprint image reconstruction
US-7020305-B2,System and method providing improved head motion estimations for animation
US-2017046503-A1,Method for detecting activity information of user and electronic device thereof
US-2012062583-A1,Data-Driven Color Coordinator
US-2004216157-A1,System and method for advertising purchase verification
US-5027116-A,Self-calibrating analog to digital converter
US-2015373256-A1,Radial fpa based electro-optic imager
US-9122897-B2,Method for the detection and classification of microcalcification clusters in digital mammograms
US-6954557-B2,Foot measurement system and method
US-3969674-A,Method and apparatus for incoherent adaptive mean-square equalization of differentially phase-modulated data signals
US-7528372-B2,Apparatus and method for infrared imaging with performance algorithm
US-2003009106-A1,System and method for selecting physiological data from a plurality of physiological data sources
US-2007053445-A1,System and method for providing video content and concealment dependent error protection and scheduling algorithms
US-2016094414-A1,"System, method and computer-implemented algorithm for client lifecycle exchange management"
US-2016189061-A1,System and method of event position allocation
US-2012019957-A1,Method of measuring non-coherent runout for a disk drive
US-9536404-B2,Bottle fraud detection system and method
US-2012079020-A1,Highlight providing system and method based on hot topic event detection
US-7398232-B2,Inventory early warning agent in a supply chain management system
US-2003012426-A1,Apparatus and method for combining random set of video features in a non-linear scheme to best describe perceptual quality of video sequences using heuristic search methodology
US-7519602-B2,Systems and methods for information exchange using object warehousing
US-9934612-B2,Methods and systems for determining the pose of a camera with respect to at least one object of a real environment
US-8208131-B2,Digital registration of 3D laser radar data based on manually selected fiducials
US-6247420-B1,Method of recognizing embroidery outline and conversion to a different data format
US-2012281832-A1,Secure wireless communication transceiver
US-2016021110-A1,Information processing apparatus and encryption communicating method
US-7330565-B1,Scale insensitive vehicle detection algorithm for flir imagery
US-9734554-B2,Compensation for viewing with common vision abnormalities
US-2015067850-A1,Ddos detection using sensor grid
US-8789426-B1,System and method of measuring quasi-static force with a piezoelectric sensor
US-8731983-B2,System and method for designing effective business policies via business rules analysis
US-7221621-B2,System and method for identification and quantification of sonar targets in a liquid medium
US-6622292-B2,"Design method for logic circuit, design support system for logic circuit and readable media"
US-7738777-B2,"DVD-audio disk, and apparatus and method for playing the same"
US-2011110399-A1,Buffer-based generation of ovsf code sequences
US-10013015-B2,Fast auto-balancing AC bridge
US-2009093717-A1,Automated Fetal Measurement From Three-Dimensional Ultrasound Data
US-2015124970-A1,Key negotiation method and apparatus according to sm2 key exchange protocol
US-2005084039-A1,Method for joint DC offset correction and channel coefficient estimation in a receiver
US-5800264-A,Method and apparatus for providing a signal indicating the approximate amount of elapsed time
US-7792126-B1,Distributed monitoring and control system
US-2004032342-A1,Method and system for projecting dynamic parking availability based on an ongoing survey for remote lots with high demand
US-2007195997-A1,Tracking and gesture recognition system particularly suited to vehicular control applications
US-8178775-B2,"Methods, systems, and computer readable media for controlling orientation of a photovoltaic collection system to track apparent movement of the sun"
US-6758802-B2,Automated shelf management system and process for tracking and purging file folders in a file storage facility
US-9705665-B2,Oversampling CDR which compensates frequency difference without elasticity buffer
US-6389329-B1,Mobile robots and their control system
US-2014126795-A1,Fat and iron quantification using a multi-step adaptive fitting approach with multi-echo magnetic resonance imaging
US-5424945-A,System for evaluating a psychological effect of a document
US-9760838-B1,Trend identification and behavioral analytics system and methods
US-7162053-B2,Generation of metadata for acquired images
US-7461115-B2,Modular multiplier
US-6804630-B2,Method for measuring quantity of usage of CPU
US-2006161404-A1,State exploration using multiple state groupings
US-2002161889-A1,Method and system for consistent cluster operational data in a server cluster using a quorum of replicas
US-2006229817-A1,Concurrent two-phase completion genetic algorithm system and methods
US-2017238851-A1,Differential Biosensor System
US-2008005375-A1,Method for controlling USB device between incompatible processing platforms
US-2014115697-A1,Data Management Method and Apparatus
US-2010311921-A1,Method for controlling a solution process for the polymerization of olefins
US-9420424-B2,System and method for measuring the crowdedness of people at a place
US-8452359-B2,Method for building an algorithm for converting spectral information
US-2005180653-A1,Edge smoothing filter for character recognition
US-2016239766-A1,"Systems, methods, and user interfaces for evaluating quality, health, safety, and environment data"
US-2003190933-A1,Integrated adaptive antenna array and adaptive locally optimum detection system
US-10089456-B2,Sensor derived authentication for establishing peer-to-peer networks
US-2004122798-A1,Fast and robust optimization of complex database queries
US-6785338-B1,Constraining video production based on compression-related information
US-2018288086-A1,Systems and methods for cyberbot network detection
US-2014086310-A1,Power efficient encoder architecture during static frame or sub-frame detection
US-2003185516-A1,"Method, apparatus and system for aligning an optical fiber end with an optical waveguide"
US-9706088-B2,Automatic microphone selection in a sports camera
US-2012020402-A1,Receiver
US-2005083327-A1,Method and system for managing graphics objects in a graphics display system
US-7146055-B2,Image processing decompression apparatus and method of using same different scaling algorithms simultaneously
US-2009150209-A1,System and method for managing mobile workers
US-9900167-B2,"Document sharing method, system, and device"
US-9339217-B2,Analyte monitoring system and methods of use
US-7222311-B2,Method and apparatus for interconnect-driven optimization of integrated circuit design
US-5760562-A,Apparatus and method for generating digital position signals for a rotatable shaft
US-9980338-B2,Illumination system
US-7617202-B2,Systems and methods that employ a distributional analysis on a query log to improve search results
US-2012327987-A1,Extended duration phy header for plc
US-5807267-A,Heart pulse monitor
US-2005072915-A1,Methods and apparatus for self-optimization of electrospray ionization devices
US-8068783-B2,Adaptive echo cancellation for an on-frequency RF repeater using a weighted power spectrum
US-7085400-B1,System and method for image based sensor calibration
US-2005168175-A1,Electronic ballast with adaptive lamp preheat and ignition
US-2014025133-A1,Cognitive function within a human brain
US-5835126-A,Interactive system for a closed cable network which includes facsimiles and voice mail on a display
US-2003165119-A1,Network configuration protocol and method for rapid traffic recovery and loop avoidance in ring topologies
US-2007149880-A1,Device and method for determining the location of a vascular opening prior to application of HIFU energy to seal the opening
US-6431171-B1,Controlliing gas or drug delivery to patient
US-5653236-A,Apparatus for real-time distributed computation of beamforming delays in ultrasound imaging system
US-9436906-B2,Discovering user-behavior from trajectory-as-polygon (TaP)
US-8369973-B2,Efficient asynchronous sample rate conversion
US-4005390-A,Merger and multiple translate tables in a buffered printer
US-5541967-A,Fast symbol synchronization for use in conditioning a receiving modem
US-2008234944-A1,Method and Apparatus for Subset Selection with Preference Maximization
US-2017261631-A1,Frequency Ratiometric Processing Of Resistivity Logging Tool Data
US-8505094-B1,Detection of malicious URLs in a web page
US-2009113184-A1,"Method, Apparatus, and Program for Pinning Internal Slack Nodes to Improve Instruction Scheduling"
US-7366185-B2,System for evolutionary service migration
US-7948252-B2,Multilayered probe card
US-2014325056-A1,Scoring quality of traffic to network sites
US-2009319272-A1,Method and system for voice ordering utilizing product information
US-8788916-B2,Architecture and control of reed-solomon error-correction decoding
US-9683837-B2,Optical measurement method and measurement system for determining 3D coordinates on a measurement object surface
US-2016156655-A1,System and methods for malware detection using log analytics for channels and super channels
US-2013132946-A1,Synchronized failover for active-passive applications
US-5201035-A,"Dynamic algorithm selection for volume rendering, isocontour and body extraction within a multiple-instruction, multiple-data multiprocessor"
US-6370890-B2,Refrigerator and its method for controlling the same
US-2009037891-A1,Apparatus to guarantee type and initialization safety in multithreaded programs
US-7272587-B1,Generation of decision trees by means of a probabilistic model
US-9239720-B2,Device and method for generating application model based on layered structure
US-2015023549-A1,Detection of astronomical objects
US-7746960-B2,Apparatus and method for compensating for I/Q mismatch in TDD system
US-7916047-B2,Systems and methods of clustered sharing of compression histories
US-10075017-B2,External or internal wireless power receiver with spaced-apart antenna elements for charging or powering mobile devices using wirelessly delivered power
US-2003184457-A1,Programmable variable-length decoder
US-2009116750-A1,Color interpolation method and device
US-2011301723-A1,Using model predictive control to optimize variable trajectories and system control
US-2005120064-A1,Method and mechanism for determining life intervals for a key in an index
US-2007273696-A1,Automated Video-To-Text System
US-2006203007-A1,A method and apparatus for updating a graphical display in a distributed processing environment using compression
US-2006266355-A1,Apparatus and method for controlling fraction of inspired oxygen
US-2018088803-A1,Storage optimization based on application feedback
US-9424526-B2,Quantum processor based systems and methods that minimize a continuous variable objective function
US-2008105065-A1,Movement distance measuring apparatus and method
US-6456025-B2,Motor operator for over-head air break electrical power distribution switches
US-7290019-B2,Garbage collection of tombstones for optimistic replication systems
US-2017285935-A1,Letter input method using touchscreen
US-2002087470-A1,Configurable billing system supporting multiple printer products and billing strategies
US-2016328724-A1,System and method for forecasting with sparse time panel series using dynamic linear models
US-7664192-B2,Apparatus and method for minimizing a PAPR in an OFDM communication system
US-7738376-B2,Managing traffic within a data communication network
US-6574353-B1,Video object tracking using a hierarchy of deformable templates
US-2004122701-A1,Systems and methods for integrating disease management into a physician workflow
